Sample	MappedReadCount
RNA20_P1_M09_WK1_metabat2.16_sub	215655
RNA20_P1_M09_WK1_metabat2.47	43561
RNA20_P1_M09_WK1_metabat2.4_sub	1294744
RNA20_P1_M09_WK1_metabat2.65	127004
RNA20_P1_M09_WK1_metabat2.80	53915
RNA20_P1_M09_WK1_metabat2.91	62472
RNA21_P33_M09_WK1_concoct.113	299745
RNA21_P33_M09_WK1_concoct.20	185095
RNA21_P33_M09_WK1_concoct.35	283965
RNA21_P33_M09_WK1_concoct.37_sub	296377
RNA21_P33_M09_WK1_concoct.38	1390347
RNA21_P33_M09_WK1_concoct.41	366315
RNA21_P33_M09_WK1_concoct.48_sub	604468
RNA21_P33_M09_WK1_concoct.56	975909
RNA21_P33_M09_WK1_concoct.57	28603
RNA21_P33_M09_WK1_concoct.58	344801
RNA21_P33_M09_WK1_concoct.60	359452
RNA21_P33_M09_WK1_concoct.68	1326530
RNA21_P33_M09_WK1_concoct.69	808994
RNA21_P33_M09_WK1_concoct.74	209015
RNA21_P33_M09_WK1_concoct.77_sub	92318
RNA21_P33_M09_WK1_concoct.78	345269
RNA21_P33_M09_WK1_concoct.7	835285
RNA21_P33_M09_WK1_concoct.82_sub	193057
RNA21_P33_M09_WK1_concoct.83	197627
RNA21_P33_M09_WK1_concoct.92_sub	75480
RNA21_P33_M09_WK1_concoct.95	692418
RNA21_P33_M09_WK1_maxbin.10	28899
RNA21_P33_M09_WK1_maxbin.11	190153
RNA21_P33_M09_WK1_maxbin.12_sub	78489
RNA21_P33_M09_WK1_maxbin.15_sub	336888
RNA21_P33_M09_WK1_maxbin.17	154282
RNA21_P33_M09_WK1_maxbin.21	46942
RNA21_P33_M09_WK1_maxbin.41	2126646
RNA21_P33_M09_WK1_maxbin.54	131641
RNA21_P33_M09_WK1_metabat2.12	138171
RNA21_P33_M09_WK1_metabat2.16_sub	261172
RNA21_P33_M09_WK1_metabat2.47	59025
RNA21_P33_M09_WK1_metabat2.4_sub	1681306
RNA21_P33_M09_WK1_metabat2.65	160798
RNA21_P33_M09_WK1_metabat2.80	94159
RNA21_P33_M09_WK1_metabat2.91	76957
RNA22_P19_M09_WK4_concoct.113	157503
RNA22_P19_M09_WK4_concoct.20	136094
RNA22_P19_M09_WK4_concoct.35	97231
RNA22_P19_M09_WK4_concoct.37_sub	174129
RNA22_P19_M09_WK4_concoct.38	723650
RNA22_P19_M09_WK4_concoct.41	50599
RNA22_P19_M09_WK4_concoct.48_sub	112642
RNA22_P19_M09_WK4_concoct.56	469999
RNA22_P19_M09_WK4_concoct.57	15965
RNA22_P19_M09_WK4_concoct.58	206608
RNA22_P19_M09_WK4_concoct.60	175595
RNA22_P19_M09_WK4_concoct.68	984924
RNA22_P19_M09_WK4_concoct.69	446350
RNA22_P19_M09_WK4_concoct.74	81752
RNA22_P19_M09_WK4_concoct.77_sub	50539
RNA22_P19_M09_WK4_concoct.78	183717
RNA22_P19_M09_WK4_concoct.7	411756
RNA22_P19_M09_WK4_concoct.82_sub	256985
RNA22_P19_M09_WK4_concoct.83	122099
RNA22_P19_M09_WK4_concoct.92_sub	53186
RNA22_P19_M09_WK4_concoct.95	259048
RNA22_P19_M09_WK4_maxbin.10	12591
RNA22_P19_M09_WK4_maxbin.11	122000
RNA22_P19_M09_WK4_maxbin.12_sub	23833
RNA22_P19_M09_WK4_maxbin.15_sub	163694
RNA22_P19_M09_WK4_maxbin.17	112135
RNA22_P19_M09_WK4_maxbin.21	19960
RNA22_P19_M09_WK4_maxbin.41	631242
RNA22_P19_M09_WK4_maxbin.54	31817
RNA22_P19_M09_WK4_metabat2.12	120008
RNA22_P19_M09_WK4_metabat2.16_sub	187757
RNA22_P19_M09_WK4_metabat2.47	33371
RNA22_P19_M09_WK4_metabat2.4_sub	801580
RNA22_P19_M09_WK4_metabat2.65	78429
RNA22_P19_M09_WK4_metabat2.80	109191
RNA22_P19_M09_WK4_metabat2.91	52494
RNA23_P1_M09_WK4_concoct.113	129753
RNA23_P1_M09_WK4_concoct.20	312845
RNA23_P1_M09_WK4_concoct.35	69071
RNA23_P1_M09_WK4_concoct.37_sub	149295
RNA23_P1_M09_WK4_concoct.38	525474
RNA23_P1_M09_WK4_concoct.41	68309
RNA23_P1_M09_WK4_concoct.48_sub	133300
RNA23_P1_M09_WK4_concoct.56	339654
RNA23_P1_M09_WK4_concoct.57	22921
RNA23_P1_M09_WK4_concoct.58	197792
RNA23_P1_M09_WK4_concoct.60	159976
RNA23_P1_M09_WK4_concoct.68	644857
RNA23_P1_M09_WK4_concoct.69	333805
RNA23_P1_M09_WK4_concoct.74	69768
RNA23_P1_M09_WK4_concoct.77_sub	86184
RNA23_P1_M09_WK4_concoct.78	167548
RNA23_P1_M09_WK4_concoct.7	254553
RNA23_P1_M09_WK4_concoct.82_sub	409051
RNA23_P1_M09_WK4_concoct.83	107452
RNA23_P1_M09_WK4_concoct.92_sub	150801
RNA23_P1_M09_WK4_concoct.95	196434
RNA23_P1_M09_WK4_maxbin.10	16894
RNA23_P1_M09_WK4_maxbin.11	147198
RNA23_P1_M09_WK4_maxbin.12_sub	30627
RNA23_P1_M09_WK4_maxbin.15_sub	160628
RNA23_P1_M09_WK4_maxbin.17	144439
RNA23_P1_M09_WK4_maxbin.21	20311
RNA23_P1_M09_WK4_maxbin.41	413103
RNA23_P1_M09_WK4_maxbin.54	39807
RNA23_P1_M09_WK4_metabat2.12	130250
RNA23_P1_M09_WK4_metabat2.16_sub	175285
RNA23_P1_M09_WK4_metabat2.47	30420
RNA23_P1_M09_WK4_metabat2.4_sub	438059
RNA23_P1_M09_WK4_metabat2.65	79680
RNA23_P1_M09_WK4_metabat2.80	194173
RNA23_P1_M09_WK4_metabat2.91	57554
RNA24_P33_M09_WK4_concoct.113	168940
RNA24_P33_M09_WK4_concoct.20	54062
RNA24_P33_M09_WK4_concoct.35	68986
RNA24_P33_M09_WK4_concoct.37_sub	62431
RNA24_P33_M09_WK4_concoct.38	371523
RNA24_P33_M09_WK4_concoct.41	22807
RNA24_P33_M09_WK4_concoct.48_sub	68960
RNA24_P33_M09_WK4_concoct.56	226068
RNA24_P33_M09_WK4_concoct.57	10758
RNA24_P33_M09_WK4_concoct.58	153443
RNA24_P33_M09_WK4_concoct.60	143024
RNA24_P33_M09_WK4_concoct.68	243189
RNA24_P33_M09_WK4_concoct.69	165251
RNA24_P33_M09_WK4_concoct.74	62331
