Sample	MappedReadCount
DNA25_P19_M09_WK9_concoct.20_modified_drep_counts	92052
DNA25_P19_M09_WK9_concoct.35_modified_drep_counts	31460
DNA25_P19_M09_WK9_concoct.37_sub_modified_drep_counts	46508
DNA25_P19_M09_WK9_concoct.38_modified_drep_counts	615261
DNA25_P19_M09_WK9_concoct.41_modified_drep_counts	14817
DNA25_P19_M09_WK9_concoct.48_sub_modified_drep_counts	53293
DNA25_P19_M09_WK9_concoct.56_modified_drep_counts	330595
DNA25_P19_M09_WK9_concoct.57_modified_drep_counts	20026
DNA25_P19_M09_WK9_concoct.58_modified_drep_counts	181708
DNA25_P19_M09_WK9_concoct.60_modified_drep_counts	170698
DNA25_P19_M09_WK9_concoct.68_modified_drep_counts	375908
DNA25_P19_M09_WK9_concoct.69_modified_drep_counts	138890
DNA25_P19_M09_WK9_concoct.74_modified_drep_counts	45078
DNA25_P19_M09_WK9_concoct.77_sub_modified_drep_counts	58038
DNA25_P19_M09_WK9_concoct.78_modified_drep_counts	174803
DNA25_P19_M09_WK9_concoct.7_modified_drep_counts	266812
DNA25_P19_M09_WK9_concoct.82_sub_modified_drep_counts	114235
DNA25_P19_M09_WK9_concoct.83_modified_drep_counts	104871
DNA25_P19_M09_WK9_concoct.92_sub_modified_drep_counts	166887
DNA25_P19_M09_WK9_concoct.95_modified_drep_counts	171474
DNA25_P19_M09_WK9_maxbin.10_modified_drep_counts	6153
DNA25_P19_M09_WK9_maxbin.11_modified_drep_counts	186966
DNA25_P19_M09_WK9_maxbin.12_sub_modified_drep_counts	13705
DNA25_P19_M09_WK9_maxbin.15_sub_modified_drep_counts	183686
DNA25_P19_M09_WK9_maxbin.17_modified_drep_counts	399045
DNA25_P19_M09_WK9_maxbin.21_modified_drep_counts	11101
DNA25_P19_M09_WK9_maxbin.41_modified_drep_counts	299961
DNA25_P19_M09_WK9_maxbin.54_modified_drep_counts	10586
DNA25_P19_M09_WK9_metabat2.12_modified_drep_counts	45221
DNA25_P19_M09_WK9_metabat2.16_sub_modified_drep_counts	231957
DNA25_P19_M09_WK9_metabat2.47_modified_drep_counts	22556
DNA25_P19_M09_WK9_metabat2.4_sub_modified_drep_counts	453572
DNA25_P19_M09_WK9_metabat2.65_modified_drep_counts	78287
DNA25_P19_M09_WK9_metabat2.80_modified_drep_counts	22803
DNA25_P19_M09_WK9_metabat2.91_modified_drep_counts	47685
DNA26_P1_M09_WK9_concoct.113_modified_drep_counts	1082320
DNA26_P1_M09_WK9_concoct.20_modified_drep_counts	54386
DNA26_P1_M09_WK9_concoct.35_modified_drep_counts	46576
DNA26_P1_M09_WK9_concoct.37_sub_modified_drep_counts	86697
DNA26_P1_M09_WK9_concoct.38_modified_drep_counts	432915
DNA26_P1_M09_WK9_concoct.41_modified_drep_counts	93866
DNA26_P1_M09_WK9_concoct.48_sub_modified_drep_counts	22009
DNA26_P1_M09_WK9_concoct.56_modified_drep_counts	394832
DNA26_P1_M09_WK9_concoct.57_modified_drep_counts	69604
DNA26_P1_M09_WK9_concoct.58_modified_drep_counts	316182
